record_id,type,score,comment,submitted_at,plan,region,channel
NOVA-000931,csat,1,Started charging for what used to be a free feature.,2026-05-08T01:33:46,plus,Jaipur,in_app
NOVA-001091,nps,9,"No hidden charges, what you see is what you pay.",2026-07-17T04:21:03,plus,Pune,email_link
NOVA-001158,nps,0,Physical card has not arrived after 5 days of 'shipped'.,2026-05-28T12:01:40,premium,Ahmedabad,in_app
NOVA-000807,nps,2,"Hidden forex markup on my international card spend, not transparent.",2026-05-18T02:55:06,premium,Jaipur,email_link
NOVA-001116,csat,1,2FA codes arrive five minutes late so I keep getting locked out.,2026-05-30T16:42:09,premium,London,in_app
NOVA-000874,nps,0,"Payment fail ho gaya par paise cut gaye, refund kab milega?",2026-08-17T02:32:37,free,Pune,email_link
NOVA-001370,nps,2,"The July UI change buried the features I use daily, worse than before.",2026-07-19T17:51:32,free,Singapore,email_link
NOVA-001407,csat,3,"So I have been using Nova for about eight months now and overall it has been fine but lately a few things pile up: the payment sometimes lags, cashback took ages last month, support was slow once but great another time, the card arrived late, however the interface is nice and forex is genuinely zero markup which I appreciate, mixed feelings honestly.",2026-05-30T06:13:42,plus,Hyderabad,in_app
NOVA-001065,csat,3,How long does card delivery take to a metro city?,2026-05-25T17:53:29,premium,Mumbai,email_link
NOVA-000912,nps,2,Video KYC agent never connected after three scheduled attempts.,2026-06-02T09:58:02,free,London,email_link
NOVA-001060,nps,8,Would love a joint account feature for couples.,2026-05-31T01:38:46,premium,Indore,in_app
NOVA-001400,nps,5,money gone,2026-04-27T11:37:35,premium,Lucknow,email_link
NOVA-000813,nps,7,A spending analytics dashboard would be great.,2026-05-25T15:08:31,free,Lucknow,in_app
NOVA-000993,nps,2,Too many taps to do a simple transfer now.,2026-06-23T05:49:13,plus,London,in_app
NOVA-000989,nps,6,Font is tiny and there is no dark mode option.,2026-06-22T04:29:31,premium,Delhi,email_link
NOVA-001385,nps,6,New interface looks pretty but it takes twice as long to do anything now.,2026-08-16T11:02:37,premium,Lucknow,in_app
NOVA-001278,nps,10,"Account setup was the easiest I have seen, fully digital.",2026-08-02T10:07:44,plus,Mumbai,email_link
NOVA-000801,csat,2,"ऐप बार-बार क्रैश हो रहा है पेमेंट करते समय, कृपया ठीक करें।",2026-06-08T15:15:47,free,Indore,email_link
NOVA-001369,nps,9,"New home screen layout is a big improvement, everything feels intuitive now.",2026-08-15T15:22:30,free,London,in_app
NOVA-000844,nps,8,Can I customise the home screen widgets?,2026-07-01T06:39:51,free,Jaipur,in_app
NOVA-001383,nps,6,New interface looks pretty but it takes twice as long to do anything now.,2026-07-20T22:20:51,free,Pune,in_app
NOVA-001042,nps,5,"The navigation is confusing, I can never find my statements.",2026-06-22T14:11:47,premium,Jaipur,email_link
NOVA-000981,nps,8,Please add support for recurring SIP investments.,2026-03-14T20:18:30,premium,Delhi,email_link
NOVA-001038,nps,6,My card gets declined at petrol pumps every single time.,2026-07-09T05:39:04,free,Bengaluru,email_link
NOVA-001086,csat,3,What are the support hours for phone assistance?,2026-07-06T18:24:36,free,Pune,in_app
NOVA-001057,nps,5,Document upload keeps failing at the last step during onboarding.,2026-06-24T16:22:46,premium,Delhi,email_link
NOVA-000850,nps,0,Cashback from last month still not credited to my account.,2026-05-23T20:21:20,premium,Lucknow,in_app
