record_id,received_at,sender_domain,subject,email_body,region,resolved_flag
NOVA-001175,2026-08-15T04:33:15,yahoo.com,Freezes on the transaction history page and I ha,Freezes on the transaction history page and I have to restart.,Dubai,True
NOVA-001343,2026-08-03T12:19:25,yahoo.com,"Fake Nova KYC link circulating on WhatsApp, plea","Fake Nova KYC link circulating on WhatsApp, please warn your users.",Lucknow,True
NOVA-001119,2026-06-09T18:48:06,hotmail.com,Video KYC agent never connected after three sche,Video KYC agent never connected after three scheduled attempts.,London,False
NOVA-001346,2026-08-11T11:21:07,yahoo.com,"Fake Nova KYC link circulating on WhatsApp, plea","Fake Nova KYC link circulating on WhatsApp, please warn your users.",Mumbai,True
NOVA-000900,2026-03-23T14:40:06,proton.me,Latest update drains my battery and heats up the,Latest update drains my battery and heats up the phone.,London,True
NOVA-001379,2026-08-05T14:40:43,gmail.com,"Hate the new redesign, please bring back the old","Hate the new redesign, please bring back the old layout. Everything moved.",Singapore,False
NOVA-001083,2026-04-04T09:16:53,outlook.com,Saw an unauthorised transaction on my account th,Saw an unauthorised transaction on my account this morning.,Kochi,False
NOVA-001221,2026-04-13T14:28:04,hotmail.com,"Support sorted my refund in under an hour, reall","Support sorted my refund in under an hour, really helpful agent.",Mumbai,True
NOVA-000952,2026-05-02T22:52:37,outlook.com,Saw an unauthorised transaction on my account th,Saw an unauthorised transaction on my account this morning.,London,True
NOVA-000867,2026-05-13T08:18:26,yahoo.com,The rewards on groceries are actually worth it,The rewards on groceries are actually worth it.,Kolkata,True
NOVA-001103,2026-04-27T01:47:59,rediffmail.com,Signup rejected my valid PAN twice with no expla,Signup rejected my valid PAN twice with no explanation.,Jaipur,False
NOVA-001127,2026-07-23T11:47:16,gmail.com,How long does card delivery take to a metro city,How long does card delivery take to a metro city?,Kochi,False
NOVA-000860,2026-07-03T13:27:24,gmail.com,When does monthly cashback usually get credited?,When does monthly cashback usually get credited?,Kolkata,False
NOVA-001394,2026-03-20T10:47:47,rediffmail.com,🙂,🙂,Hyderabad,True
NOVA-001187,2026-04-13T21:53:30,gmail.com,How do I redeem my reward points?,How do I redeem my reward points?,Mumbai,False
NOVA-000960,2026-06-25T21:20:41,gmail.com,"Clean interface, everything is where you expect ","Clean interface, everything is where you expect it to be.",Lucknow,True
NOVA-000939,2026-04-07T22:24:14,rediffmail.com,"No hidden charges, what you see is what you pay","No hidden charges, what you see is what you pay.",Delhi,False
NOVA-001326,2026-08-13T08:01:04,gmail.com,"Paid for groceries, app crashed, got charged twi","Paid for groceries, app crashed, got charged twice. This started after the update.",Singapore,True
NOVA-000854,2026-07-19T20:12:20,yahoo.com,Latest update drains my battery and heats up the,Latest update drains my battery and heats up the phone.,London,False
NOVA-001334,2026-08-17T04:23:55,gmail.com,Payment screen force closes after update to 4,"Payment screen force closes after update to 4.2.0. Money stuck, super frustrated.",Lucknow,True
