record_id,store,rating,title,body,os_version,app_build,submitted_at,country
NOVA-000089,Play Store,5,"No hidden charges, what you see is what you pay","No hidden charges, what you see is what you pay.",Android,4.1.2,2026-04-23T16:26:50,Bengaluru
NOVA-000150,Play Store,2,Hidden forex markup on my international card spe,"Hidden forex markup on my international card spend, not transparent.",Android,4.1.2,2026-07-27T05:08:33,London
NOVA-000343,Play Store,1,"UPI transaction stuck on 'processing' forever, h","UPI transaction stuck on 'processing' forever, had to force close.",Android,4.0.1,2026-07-04T12:56:40,Kolkata
NOVA-000315,App Store,3,What documents do I need for full KYC?,What documents do I need for full KYC?,iOS,4.1.2,2026-07-09T13:59:06,Delhi
NOVA-000427,App Store,1,Chat support just sends canned replies and never,Chat support just sends canned replies and never resolves anything.,iOS,4.1.0,2026-06-08T18:12:33,Hyderabad
NOVA-000152,App Store,1,Font is tiny and there is no dark mode option,Font is tiny and there is no dark mode option.,iOS,4.1.2,2026-03-21T14:40:29,Pune
NOVA-000160,Play Store,3,Does Nova support virtual cards for online shopp,Does Nova support virtual cards for online shopping?,Android,4.1.2,2026-07-30T22:16:54,Dubai
NOVA-000298,App Store,1,My card gets declined at petrol pumps every sing,My card gets declined at petrol pumps every single time.,iOS,4.0.4,2026-04-12T10:56:14,Pune
NOVA-000547,App Store,3,What is the charge for an instant transfer?,What is the charge for an instant transfer?,iOS,4.0.1,2026-06-08T19:13:41,Indore
NOVA-000533,Play Store,1,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,Android,4.1.2,2026-04-14T07:33:44,Lucknow
NOVA-000168,Play Store,1,Latest update drains my battery and heats up the,Latest update drains my battery and heats up the phone.,Android,4.0.4,2026-04-18T07:26:44,Dubai
NOVA-000348,Play Store,4,UPI transfers are instant and I have never had o,UPI transfers are instant and I have never had one fail. Solid.,Android,4.0.4,2026-05-24T03:02:13,Delhi
NOVA-000746,App Store,5,Metal card feels premium and works everywhere,Metal card feels premium and works everywhere.,iOS,4.1.3,2026-06-08T02:51:00,Lucknow
NOVA-000491,App Store,3,Can I customise the home screen widgets?,Can I customise the home screen widgets?,iOS,4.0.4,2026-04-13T18:08:05,Kochi
NOVA-000058,Play Store,3,How do I set up biometric login?,How do I set up biometric login?,Android,4.1.2,2026-06-21T03:53:39,Indore
NOVA-000271,App Store,2,"White screen on launch after the update, tried r","White screen on launch after the update, tried reinstalling twice.",iOS,4.1.3,2026-06-02T16:49:35,Pune
NOVA-000308,Play Store,1,Charged a convenience fee that was never disclos,Charged a convenience fee that was never disclosed upfront.,Android,4.1.0,2026-05-16T07:41:45,Chennai
NOVA-000066,Play Store,1,Auto-pay for my rent silently failed and I got a,Auto-pay for my rent silently failed and I got a late fee.,Android,4.0.1,2026-03-25T15:22:56,Dubai
NOVA-000328,Play Store,1,Too many taps to do a simple transfer now,Too many taps to do a simple transfer now.,Android,4.1.0,2026-07-17T15:06:18,Hyderabad
NOVA-000227,App Store,2,Signup rejected my valid PAN twice with no expla,Signup rejected my valid PAN twice with no explanation.,iOS,4.0.1,2026-04-18T16:41:53,Pune
NOVA-000490,Play Store,3,Is there an annual fee on the premium plan?,Is there an annual fee on the premium plan?,Android,4.2.0,2026-08-10T19:50:14,Kochi
NOVA-000423,Play Store,2,My card was cloned and blocking it in-app did no,My card was cloned and blocking it in-app did not work.,Android,4.1.0,2026-06-08T23:01:26,Delhi
NOVA-000638,Play Store,2,Saw an unauthorised transaction on my account th,Saw an unauthorised transaction on my account this morning.,Android,4.1.3,2026-05-15T17:30:22,Kochi
NOVA-000582,App Store,3,Does Nova support virtual cards for online shopp,Does Nova support virtual cards for online shopping?,iOS,4.1.2,2026-04-28T03:57:54,Lucknow
NOVA-000292,App Store,2,"The navigation is confusing, I can never find my","The navigation is confusing, I can never find my statements.",iOS,4.1.0,2026-04-09T10:44:07,Ahmedabad
NOVA-000732,Play Store,1,Started charging for what used to be a free feat,Started charging for what used to be a free feature.,Android,4.1.2,2026-06-26T09:08:59,Delhi
NOVA-000023,App Store,2,Bill payment shows success but the biller says t,Bill payment shows success but the biller says they never received it.,iOS,4.0.1,2026-03-14T14:46:51,Jaipur
NOVA-000274,App Store,1,Hidden forex markup on my international card spe,"Hidden forex markup on my international card spend, not transparent.",iOS,4.1.0,2026-07-20T13:20:51,Singapore
NOVA-000201,App Store,1,Latest update drains my battery and heats up the,Latest update drains my battery and heats up the phone.,iOS,4.0.4,2026-03-30T10:26:57,Hyderabad
NOVA-000147,Play Store,4,"Support sorted my refund in under an hour, reall","Support sorted my refund in under an hour, really helpful agent.",Android,4.0.4,2026-05-03T08:48:09,Mumbai
NOVA-000757,Play Store,4,"Virtual card was ready instantly, used it the sa","Virtual card was ready instantly, used it the same minute.",Android,4.1.3,2026-07-09T02:38:04,Pune
NOVA-000612,Play Store,2,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,Android,4.1.2,2026-07-22T04:46:04,Jaipur
NOVA-000270,Play Store,3,Is there a daily limit on UPI payments here?,Is there a daily limit on UPI payments here?,Android,4.1.3,2026-03-06T16:36:54,Singapore
NOVA-000603,App Store,4,Metal card feels premium and works everywhere,Metal card feels premium and works everywhere.,iOS,4.1.0,2026-04-17T02:57:42,Ahmedabad
NOVA-000248,Play Store,1,Signup rejected my valid PAN twice with no expla,Signup rejected my valid PAN twice with no explanation.,Android,4.1.2,2026-05-03T16:38:45,Kochi
NOVA-000625,App Store,2,Got transferred four times and had to repeat my ,Got transferred four times and had to repeat my issue each time.,iOS,4.2.0,2026-08-05T22:50:07,Indore
NOVA-000571,Play Store,5,"Account setup was the easiest I have seen, fully","Account setup was the easiest I have seen, fully digital.",Android,4.1.3,2026-06-30T04:37:43,Bengaluru
NOVA-000167,App Store,5,"No hidden charges, what you see is what you pay","No hidden charges, what you see is what you pay.",iOS,4.1.0,2026-06-14T07:03:15,Jaipur
NOVA-000024,App Store,3,Does the app work on Android 11 still?,Does the app work on Android 11 still?,iOS,4.1.3,2026-06-25T19:27:25,Delhi
NOVA-000165,Play Store,3,Would love a joint account feature for couples,Would love a joint account feature for couples.,Android,4.1.3,2026-07-27T11:45:56,Kochi
NOVA-000436,Play Store,1,Font is tiny and there is no dark mode option,Font is tiny and there is no dark mode option.,Android,4.1.0,2026-06-28T09:16:12,Chennai
NOVA-000264,Play Store,2,Hidden forex markup on my international card spe,"Hidden forex markup on my international card spend, not transparent.",Android,4.0.4,2026-07-05T03:26:16,Kochi
NOVA-000428,App Store,4,"Runs great even on my old phone, no complaints o","Runs great even on my old phone, no complaints on speed.",iOS,4.1.3,2026-07-13T05:40:47,Mumbai
NOVA-000545,App Store,3,Can I have both a virtual and physical card?,Can I have both a virtual and physical card?,iOS,4.2.0,2026-08-12T22:43:35,Lucknow
NOVA-000762,App Store,1,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,iOS,4.2.0,2026-08-05T23:51:35,Ahmedabad
NOVA-000749,Play Store,3,Does the app work on Android 11 still?,Does the app work on Android 11 still?,Android,4.0.1,2026-03-05T05:48:08,London
NOVA-000123,Play Store,2,Started charging for what used to be a free feat,Started charging for what used to be a free feature.,Android,4.1.0,2026-05-20T14:43:44,Delhi
NOVA-000680,App Store,1,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,iOS,4.1.0,2026-03-30T05:01:21,Mumbai
NOVA-000368,Play Store,5,"Virtual card was ready instantly, used it the sa","Virtual card was ready instantly, used it the same minute.",Android,4.1.0,2026-06-04T09:45:13,London
NOVA-000721,App Store,1,Signup rejected my valid PAN twice with no expla,Signup rejected my valid PAN twice with no explanation.,iOS,4.0.4,2026-07-20T18:36:33,Ahmedabad
NOVA-000307,Play Store,1,App crashes every time I open the payment screen,App crashes every time I open the payment screen. Unusable.,Android,4.0.1,2026-07-31T13:08:19,Kolkata
NOVA-000306,App Store,4,"Snappy and smooth, one of the faster banking app","Snappy and smooth, one of the faster banking apps I use.",iOS,4.1.0,2026-06-27T19:37:50,Chennai
NOVA-000268,Play Store,2,Raised a ticket 9 days ago and still no response,Raised a ticket 9 days ago and still no response from support.,Android,4.1.3,2026-04-23T00:37:31,Delhi
NOVA-000791,App Store,1,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,iOS,4.1.0,2026-08-10T07:03:32,Lucknow
NOVA-000798,Play Store,1,Points I earned vanished after the update,Points I earned vanished after the update.,Android,4.2.0,2026-08-16T15:42:22,Lucknow
NOVA-000763,Play Store,1,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,Android,4.0.4,2026-07-30T07:07:40,Hyderabad
NOVA-000672,App Store,1,Physical card has not arrived after 10 days of ',Physical card has not arrived after 10 days of 'shipped'.,iOS,4.1.3,2026-06-25T03:31:42,Ahmedabad
NOVA-000121,Play Store,3,👍👍👍,👍👍👍,Android,4.1.0,2026-04-24T00:19:22,Pune
NOVA-000631,App Store,4,The rewards on groceries are actually worth it,The rewards on groceries are actually worth it.,iOS,4.0.1,2026-05-05T02:31:25,Bengaluru
NOVA-000610,App Store,4,"Love the real-time fraud alerts, caught a bad ch","Love the real-time fraud alerts, caught a bad charge fast.",iOS,4.0.4,2026-07-17T09:27:35,Hyderabad
NOVA-000445,Play Store,2,"UPI transaction stuck on 'processing' forever, h","UPI transaction stuck on 'processing' forever, had to force close.",Android,4.1.2,2026-05-12T15:00:20,Jaipur
NOVA-000194,App Store,3,A spending analytics dashboard would be great,A spending analytics dashboard would be great.,iOS,4.1.3,2026-06-30T14:35:06,Jaipur
NOVA-000737,Play Store,2,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,Android,4.0.4,2026-08-14T16:26:01,Lucknow
NOVA-000291,Play Store,3,How long does an IMPS transfer usually take on N,How long does an IMPS transfer usually take on Nova?,Android,4.1.2,2026-07-21T16:57:50,Ahmedabad
NOVA-000539,Play Store,3,Can I have both a virtual and physical card?,Can I have both a virtual and physical card?,Android,4.0.1,2026-06-04T14:06:17,Hyderabad
NOVA-000096,Play Store,2,Saw an unauthorised transaction on my account th,Saw an unauthorised transaction on my account this morning.,Android,4.1.3,2026-03-19T12:25:03,Jaipur
NOVA-000221,App Store,5,"Runs great even on my old phone, no complaints o","Runs great even on my old phone, no complaints on speed.",iOS,4.0.4,2026-05-23T06:13:01,London
NOVA-000336,App Store,2,2FA codes arrive five minutes late so I keep get,2FA codes arrive five minutes late so I keep getting locked out.,iOS,4.0.4,2026-04-06T01:24:02,Hyderabad
NOVA-000214,App Store,3,How long does card delivery take to a metro city,How long does card delivery take to a metro city?,iOS,4.0.1,2026-06-04T04:40:29,Dubai
NOVA-000001,App Store,1,Raised a ticket 19 days ago and still no respons,Raised a ticket 19 days ago and still no response from support.,iOS,4.1.3,2026-03-08T13:50:36,Kolkata
NOVA-000087,Play Store,3,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,Android,4.1.0,2026-07-13T16:06:35,Kochi
NOVA-000486,App Store,4,"Love the real-time fraud alerts, caught a bad ch","Love the real-time fraud alerts, caught a bad charge fast.",iOS,4.1.0,2026-06-22T08:59:01,Dubai
NOVA-000750,Play Store,1,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,Android,4.1.0,2026-06-17T13:00:38,Hyderabad
NOVA-000430,App Store,4,Metal card feels premium and works everywhere,Metal card feels premium and works everywhere.,iOS,4.1.3,2026-07-08T09:40:58,Pune
NOVA-000155,App Store,3,How do I redeem my reward points?,How do I redeem my reward points?,iOS,4.1.3,2026-03-09T19:34:39,Bengaluru
NOVA-000266,Play Store,2,Latest update drains my battery and heats up the,Latest update drains my battery and heats up the phone.,Android,4.1.0,2026-03-18T22:31:34,Singapore
NOVA-000301,App Store,4,Metal card feels premium and works everywhere,Metal card feels premium and works everywhere.,iOS,4.1.2,2026-06-21T10:29:41,Chennai
NOVA-000204,Play Store,3,How long does card delivery take to a metro city,How long does card delivery take to a metro city?,Android,4.0.1,2026-05-12T20:28:29,Pune
NOVA-000549,App Store,4,"Account setup was the easiest I have seen, fully","Account setup was the easiest I have seen, fully digital.",iOS,4.0.1,2026-07-25T10:01:38,Lucknow
NOVA-000365,Play Store,2,Points I earned vanished after the update,Points I earned vanished after the update.,Android,4.1.2,2026-08-12T00:21:33,London
NOVA-000060,Play Store,2,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,Android,4.1.0,2026-07-21T22:30:26,Mumbai
NOVA-000496,App Store,3,Where did the rewards tab move to?,Where did the rewards tab move to?,iOS,4.0.1,2026-07-10T19:37:14,Bengaluru
NOVA-000134,Play Store,4,"Onboarding took five minutes, KYC approved same ","Onboarding took five minutes, KYC approved same day. Impressive.",Android,4.0.1,2026-06-20T11:33:53,Pune
NOVA-000647,Play Store,5,"Scheduled payments just work, set and forget","Scheduled payments just work, set and forget.",Android,4.0.4,2026-07-10T15:11:56,Kochi
NOVA-000660,Play Store,2,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,Android,4.0.1,2026-04-19T09:54:54,Dubai
NOVA-000629,Play Store,5,Zero forex markup is a genuine reason I switched,Zero forex markup is a genuine reason I switched to Nova.,Android,4.1.2,2026-03-22T21:47:41,Delhi
NOVA-000508,App Store,1,Latest update drains my battery and heats up the,Latest update drains my battery and heats up the phone.,iOS,4.1.0,2026-07-23T03:52:27,Lucknow
NOVA-000748,App Store,2,My card gets declined at petrol pumps every sing,My card gets declined at petrol pumps every single time.,iOS,4.0.4,2026-08-18T13:16:09,Mumbai
NOVA-000189,Play Store,4,Zero forex markup is a genuine reason I switched,Zero forex markup is a genuine reason I switched to Nova.,Android,4.1.2,2026-04-16T14:17:31,Jaipur
NOVA-000568,App Store,2,"केवाईसी कई दिनों से रिव्यू में अटकी है, खाता इस्","केवाईसी कई दिनों से रिव्यू में अटकी है, खाता इस्तेमाल नहीं कर पा रहा।",iOS,4.1.0,2026-08-18T18:25:06,Ahmedabad
NOVA-000370,Play Store,2,"KYC has been 'under review' for 8 days, still ca","KYC has been 'under review' for 8 days, still cannot use my account.",Android,4.0.4,2026-05-31T04:38:50,Chennai
NOVA-000646,Play Store,2,Too many taps to do a simple transfer now,Too many taps to do a simple transfer now.,Android,4.0.4,2026-05-01T17:22:48,Kolkata
NOVA-000100,Play Store,3,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,Android,4.0.1,2026-08-09T19:51:28,Bengaluru
NOVA-000290,App Store,3,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,iOS,4.2.0,2026-08-08T21:18:07,Kochi
NOVA-000758,Play Store,3,How long does card delivery take to a metro city,How long does card delivery take to a metro city?,Android,4.0.4,2026-06-26T07:54:25,Hyderabad
NOVA-000329,Play Store,3,Can I have both a virtual and physical card?,Can I have both a virtual and physical card?,Android,4.1.0,2026-05-10T02:19:08,Kochi
NOVA-000522,App Store,3,Does the app work on Android 11 still?,Does the app work on Android 11 still?,iOS,4.1.2,2026-04-25T12:21:58,Kolkata
NOVA-000381,Play Store,3,Can I have both a virtual and physical card?,Can I have both a virtual and physical card?,Android,4.1.2,2026-07-04T00:04:10,Mumbai
NOVA-000645,Play Store,4,"Snappy and smooth, one of the faster banking app","Snappy and smooth, one of the faster banking apps I use.",Android,4.1.0,2026-05-10T21:58:27,Delhi
NOVA-000208,Play Store,3,A spending analytics dashboard would be great,A spending analytics dashboard would be great.,Android,4.0.4,2026-07-29T03:26:15,Dubai
NOVA-000505,Play Store,1,Got transferred four times and had to repeat my ,Got transferred four times and had to repeat my issue each time.,Android,4.1.2,2026-03-24T02:58:39,Dubai
NOVA-000101,Play Store,1,My card gets declined at petrol pumps every sing,My card gets declined at petrol pumps every single time.,Android,4.1.3,2026-03-23T21:11:52,Indore
NOVA-000241,Play Store,2,Chat support just sends canned replies and never,Chat support just sends canned replies and never resolves anything.,Android,4.1.2,2026-06-26T03:13:32,Hyderabad
NOVA-000595,App Store,1,Too many taps to do a simple transfer now,Too many taps to do a simple transfer now.,iOS,4.0.1,2026-07-10T04:53:31,Pune
NOVA-000288,App Store,1,Signup rejected my valid PAN twice with no expla,Signup rejected my valid PAN twice with no explanation.,iOS,4.0.1,2026-06-26T03:24:12,Ahmedabad
NOVA-000765,App Store,2,Points I earned vanished after the update,Points I earned vanished after the update.,iOS,4.2.0,2026-08-17T11:58:01,Singapore
NOVA-000090,Play Store,3,A spending analytics dashboard would be great,A spending analytics dashboard would be great.,Android,4.1.3,2026-04-03T14:59:21,Bengaluru
NOVA-000276,App Store,3,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,iOS,4.0.1,2026-04-16T05:37:40,Dubai
NOVA-000438,Play Store,3,Would love a joint account feature for couples,Would love a joint account feature for couples.,Android,4.1.2,2026-05-18T11:01:20,Kochi
NOVA-000636,Play Store,1,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,Android,4.1.3,2026-07-15T13:17:35,Jaipur
NOVA-000686,App Store,2,Points I earned vanished after the update,Points I earned vanished after the update.,iOS,4.1.0,2026-06-27T15:54:20,Ahmedabad
NOVA-000735,Play Store,5,"Virtual card was ready instantly, used it the sa","Virtual card was ready instantly, used it the same minute.",Android,4.1.2,2026-06-10T20:26:53,Delhi
NOVA-000653,Play Store,1,"White screen on launch after the update, tried r","White screen on launch after the update, tried reinstalling twice.",Android,4.1.2,2026-07-04T01:06:47,London
NOVA-000369,Play Store,5,"Runs great even on my old phone, no complaints o","Runs great even on my old phone, no complaints on speed.",Android,4.1.3,2026-06-29T00:27:57,Chennai
NOVA-000584,App Store,1,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,iOS,4.1.0,2026-04-20T12:23:45,Lucknow
NOVA-000279,Play Store,2,2FA codes arrive five minutes late so I keep get,2FA codes arrive five minutes late so I keep getting locked out.,Android,4.1.0,2026-05-30T00:36:04,Delhi
NOVA-000578,App Store,3,Is there an annual fee on the premium plan?,Is there an annual fee on the premium plan?,iOS,4.1.0,2026-06-01T10:45:44,Mumbai
NOVA-000597,App Store,1,"KYC has been 'under review' for 5 days, still ca","KYC has been 'under review' for 5 days, still cannot use my account.",iOS,4.1.0,2026-05-20T07:08:54,Delhi
NOVA-000293,App Store,4,"Support sorted my refund in under an hour, reall","Support sorted my refund in under an hour, really helpful agent.",iOS,4.1.2,2026-04-20T09:03:24,Singapore
NOVA-000641,Play Store,1,Font is tiny and there is no dark mode option,Font is tiny and there is no dark mode option.,Android,4.0.1,2026-06-23T11:07:10,Pune
NOVA-000437,App Store,2,"White screen on launch after the update, tried r","White screen on launch after the update, tried reinstalling twice.",iOS,4.1.0,2026-04-16T16:06:22,Pune
NOVA-000081,Play Store,1,Too many taps to do a simple transfer now,Too many taps to do a simple transfer now.,Android,4.1.2,2026-06-21T04:33:55,Hyderabad
NOVA-000520,Play Store,2,"So slow to load, spinning wheel for 30 seconds o","So slow to load, spinning wheel for 30 seconds on the home tab.",Android,4.1.0,2026-07-01T15:04:29,Hyderabad
NOVA-000632,Play Store,3,What is the charge for an instant transfer?,What is the charge for an instant transfer?,Android,4.2.0,2026-08-01T07:16:05,Dubai
NOVA-000129,App Store,4,"Runs great even on my old phone, no complaints o","Runs great even on my old phone, no complaints on speed.",iOS,4.1.2,2026-05-05T07:45:00,London
NOVA-000072,App Store,4,"Clean interface, everything is where you expect ","Clean interface, everything is where you expect it to be.",iOS,4.1.3,2026-03-16T07:59:48,Hyderabad
NOVA-000504,Play Store,2,"KYC has been 'under review' for 15 days, still c","KYC has been 'under review' for 15 days, still cannot use my account.",Android,4.1.0,2026-06-23T04:13:34,Indore
NOVA-000685,Play Store,3,How do I set up biometric login?,How do I set up biometric login?,Android,4.0.1,2026-06-13T05:34:26,Mumbai
NOVA-000775,Play Store,1,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,Android,4.2.0,2026-08-07T20:50:54,Kolkata
NOVA-000228,App Store,2,Saw an unauthorised transaction on my account th,Saw an unauthorised transaction on my account this morning.,iOS,4.1.3,2026-07-27T11:30:42,Jaipur
NOVA-000056,App Store,2,Too many taps to do a simple transfer now,Too many taps to do a simple transfer now.,iOS,4.0.1,2026-03-22T12:51:14,Lucknow
NOVA-000025,Play Store,1,Hidden forex markup on my international card spe,"Hidden forex markup on my international card spend, not transparent.",Android,4.2.0,2026-08-08T09:44:08,London
NOVA-000296,App Store,2,Support closed my ticket without solving the pro,Support closed my ticket without solving the problem.,iOS,4.2.0,2026-08-05T11:23:24,Lucknow
NOVA-000425,App Store,2,Latest update drains my battery and heats up the,Latest update drains my battery and heats up the phone.,iOS,4.1.0,2026-06-10T23:05:04,Kolkata
NOVA-000534,Play Store,3,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,Android,4.1.0,2026-06-23T16:39:09,Jaipur
NOVA-000797,Play Store,2,Points I earned vanished after the update,Points I earned vanished after the update.,Android,4.2.0,2026-08-01T16:08:45,Delhi
NOVA-000602,App Store,3,What documents do I need for full KYC?,What documents do I need for full KYC?,iOS,4.0.1,2026-07-01T23:01:36,Mumbai
NOVA-000337,App Store,1,"So slow to load, spinning wheel for 30 seconds o","So slow to load, spinning wheel for 30 seconds on the home tab.",iOS,4.0.1,2026-07-27T06:10:20,Ahmedabad
NOVA-000776,Play Store,1,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,Android,4.2.0,2026-08-09T22:28:41,Pune
NOVA-000156,App Store,1,Signup rejected my valid PAN twice with no expla,Signup rejected my valid PAN twice with no explanation.,iOS,4.1.0,2026-04-15T07:26:03,Singapore
