record_id,received_at,from_domain,subject,message,region
NOVA-000032,2026-07-08T06:53:37,proton.me,What are the support hours for phone assistance?,What are the support hours for phone assistance?,Mumbai
NOVA-000705,2026-07-09T08:14:30,gmail.com,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,Mumbai
NOVA-000091,2026-06-24T09:42:06,proton.me,When does monthly cashback usually get credited?,When does monthly cashback usually get credited?,Ahmedabad
NOVA-000671,2026-08-18T19:51:12,yahoo.com,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,Chennai
NOVA-000570,2026-06-09T16:55:18,yahoo.com,"Splitting bills with friends is smooth, love the","Splitting bills with friends is smooth, love the request money feature.",Ahmedabad
NOVA-000580,2026-06-16T00:00:56,hotmail.com,Points I earned vanished after the update,Points I earned vanished after the update.,London
NOVA-000297,2026-06-30T01:39:40,rediffmail.com,Would love a joint account feature for couples,Would love a joint account feature for couples.,Jaipur
NOVA-000617,2026-06-01T08:23:48,gmail.com,"Cannot increase my card limit, the option is gre","Cannot increase my card limit, the option is greyed out.",Singapore
NOVA-000020,2026-04-15T08:13:10,gmail.com,When does monthly cashback usually get credited?,When does monthly cashback usually get credited?,Kochi
NOVA-000693,2026-03-07T01:02:57,gmail.com,Auto-pay for my rent silently failed and I got a,Auto-pay for my rent silently failed and I got a late fee.,Kochi
NOVA-000157,2026-04-21T08:26:45,outlook.com,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,Ahmedabad
NOVA-000247,2026-06-20T18:41:19,rediffmail.com,My card gets declined at petrol pumps every sing,My card gets declined at petrol pumps every single time.,Bengaluru
NOVA-000311,2026-04-04T10:26:27,rediffmail.com,Charged a convenience fee that was never disclos,Charged a convenience fee that was never disclosed upfront.,Ahmedabad
NOVA-000435,2026-03-26T23:11:23,rediffmail.com,My card gets declined at petrol pumps every sing,My card gets declined at petrol pumps every single time.,Chennai
NOVA-000674,2026-05-15T15:06:24,gmail.com,Love how simple it is to check my balance at a g,Love how simple it is to check my balance at a glance.,Pune
NOVA-000067,2026-04-30T14:43:34,outlook.com,Can I customise the home screen widgets?,Can I customise the home screen widgets?,Dubai
NOVA-000007,2026-04-18T17:25:46,outlook.com,My card gets declined at petrol pumps every sing,My card gets declined at petrol pumps every single time.,Hyderabad
NOVA-000733,2026-08-09T13:26:25,hotmail.com,Bill payment shows success but the biller says t,Bill payment shows success but the biller says they never received it.,Hyderabad
NOVA-000553,2026-08-10T16:21:04,proton.me,Support closed my ticket without solving the pro,Support closed my ticket without solving the problem.,Chennai
NOVA-000351,2026-04-28T14:09:37,gmail.com,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,Dubai
NOVA-000594,2026-04-07T18:24:04,gmail.com,Support closed my ticket without solving the pro,Support closed my ticket without solving the problem.,Dubai
NOVA-000707,2026-04-07T07:01:18,gmail.com,Every second transfer fails and then succeeds on,"Every second transfer fails and then succeeds on retry, so annoying.",Chennai
NOVA-000656,2026-07-30T02:52:33,gmail.com,Hidden forex markup on my international card spe,"Hidden forex markup on my international card spend, not transparent.",Mumbai
NOVA-000207,2026-06-21T00:31:04,rediffmail.com,Started charging for what used to be a free feat,Started charging for what used to be a free feature.,Mumbai
NOVA-000050,2026-07-25T18:06:07,proton.me,My card was cloned and blocking it in-app did no,My card was cloned and blocking it in-app did not work.,Singapore
NOVA-000054,2026-03-15T21:40:09,rediffmail.com,UPI transfers are instant and I have never had o,UPI transfers are instant and I have never had one fail. Solid.,Dubai
NOVA-000657,2026-06-23T15:05:05,hotmail.com,Support closed my ticket without solving the pro,Support closed my ticket without solving the problem.,Kochi
NOVA-000367,2026-08-13T06:12:32,rediffmail.com,When does monthly cashback usually get credited?,When does monthly cashback usually get credited?,Lucknow
NOVA-000158,2026-08-13T22:12:24,gmail.com,"No hidden charges, what you see is what you pay","No hidden charges, what you see is what you pay.",Dubai
NOVA-000085,2026-05-22T20:02:24,outlook.com,My card was cloned and blocking it in-app did no,My card was cloned and blocking it in-app did not work.,Ahmedabad
NOVA-000687,2026-03-25T20:14:53,gmail.com,Got transferred four times and had to repeat my ,Got transferred four times and had to repeat my issue each time.,Mumbai
NOVA-000257,2026-04-20T02:48:21,gmail.com,Hidden forex markup on my international card spe,"Hidden forex markup on my international card spend, not transparent.",Lucknow
NOVA-000407,2026-05-11T11:47:59,hotmail.com,Is there a daily limit on UPI payments here?,Is there a daily limit on UPI payments here?,Hyderabad
NOVA-000391,2026-08-08T00:18:55,hotmail.com,"Cashback credited instantly, better than my old ","Cashback credited instantly, better than my old bank.",Kochi
NOVA-000567,2026-06-29T06:47:50,outlook.com,Started charging for what used to be a free feat,Started charging for what used to be a free feature.,Indore
NOVA-000299,2026-06-10T22:12:29,proton.me,Update ke baad app baar baar crash ho raha hai p,Update ke baad app baar baar crash ho raha hai pay karte time.,Dubai
NOVA-000644,2026-04-23T16:40:05,yahoo.com,Raised a ticket 19 days ago and still no respons,Raised a ticket 19 days ago and still no response from support.,Hyderabad
NOVA-000403,2026-05-06T14:21:27,proton.me,My card gets declined at petrol pumps every sing,My card gets declined at petrol pumps every single time.,Singapore
NOVA-000675,2026-05-25T21:49:11,proton.me,Can I have both a virtual and physical card?,Can I have both a virtual and physical card?,Hyderabad
NOVA-000443,2026-07-28T16:27:42,gmail.com,"Cannot increase my card limit, the option is gre","Cannot increase my card limit, the option is greyed out.",Bengaluru
NOVA-000305,2026-07-05T10:46:50,hotmail.com,2FA codes arrive five minutes late so I keep get,2FA codes arrive five minutes late so I keep getting locked out.,Jaipur
NOVA-000729,2026-06-01T17:27:26,proton.me,"Clean interface, everything is where you expect ","Clean interface, everything is where you expect it to be.",Ahmedabad
